Song;Artist(s);Link;Chords;Chords 2
"""New Rules""";Dua Lipa;https://tabs.ultimate-guitar.com/tab/dua-lipa/new-rules-chords-2079521;;
"""Don't Stop Believin'""";Journey;https://tabs.ultimate-guitar.com/tab/journey/dont-stop-believin-chords-2063241;E, B, C#m, A, G#m;
"""Levitating""";Dua Lipa and DaBaby;;['Bm', 'Em', ’Gbm'];
"""Too Good At Goodbyes""";Sam Smith;https://tabs.ultimate-guitar.com/tab/sam-smith/too-good-at-goodbyes-chords-2142281;Gm, A#, F, Cm;
"""Save Your Tears""";The Weeknd;https://tabs.ultimate-guitar.com/tab/the-weeknd/save-your-tears-chords-3035397;C, Am, Em, G, Dm, F, F/G;
"""Wonderwall""";Oasis;https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-27596;['E', 'A', 'F#m', ’B7sus4’, ’D’];
"""Stay With Me""";Sam Smith;https://tabs.ultimate-guitar.com/tab/sam-smith/stay-with-me-chords-1473600;Am7, F, C, Gsus4, Am, G, G#dim;
"""Havana""";Camila Cabello and Young Thug;https://tabs.ultimate-guitar.com/tab/camila-cabello/havana-chords-2105155;['D#', 'Gm', 'D7'];Gm, D#, D7
"""Don't Stop Me Now""";Queen;https://tabs.ultimate-guitar.com/tab/queen/dont-stop-me-now-chords-519549;F, Am, Dm, Gm, C, F7, Bb, D7, C7, Gm7, Eb, F/G, Dm7/C, F/A, Bdim, Ab6/Bb;
"""Take On Me""";A-ha;https://tabs.ultimate-guitar.com/tab/a-ha/take-on-me-chords-1842621;Bm, E/G#, A, D, A/C#, Amaj7/C#, F#m, E, C#m, C#7;
"""Uptown Funk""";Mark Ronson and Bruno Mars;https://tabs.ultimate-guitar.com/tab/mark-ronson/uptown-funk-chords-1683393;Dm, G7, D5, D#5, E5, F5, F#5, G5, G#5, A5, A#5, B5, C5, C#5;
"""Memories""";Maroon 5;https://tabs.ultimate-guitar.com/tab/misc-mashups/maroon-5-memories-sonu-nigam-kal-ho-na-ho-chords-3055789;;
"""Without Me""";Halsey;https://tabs.ultimate-guitar.com/tab/halsey/without-me-chords-2485194;['C#', 'D#m', 'B', 'F#'];
"""All I Want For Christmas Is You""";Mariah Carey;https://tabs.ultimate-guitar.com/tab/mariah-carey/all-i-want-for-christmas-is-you-chords-903566;G, Em, C, D, G/B, Cm/Eb, G/D, B7, E7, Am7, Cm6/D, Eb6, Cm6/Eb, Am7/D;
"""Someone Like You""";Adele;https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-chords-1006751;B, D#m/A#, G#m, E, F#9, F#, C#m, F#/A#;
"""The Scientist""";Coldplay;https://tabs.ultimate-guitar.com/tab/coldplay/the-scientist-chords-42050;Fm7, C#, G#, G#sus2, D#/G#, F6/9, D#/A#, D#sus4, D#, G#maj7;
"""Seven""";Jung Kook and Latto;https://tabs.ultimate-guitar.com/tab/4873781;['B', 'D#7', 'F#m7', 'G#m', 'Emaj7'];B, Emaj7, D#7, G#m, F#m7
"""Till I Collapse""";Eminem and Nate Dogg;https://tabs.ultimate-guitar.com/tab/eminem/till-i-collapse-tabs-5177760;;
"""Dakiti""";Bad Bunny and Jhayco;;['C', 'Am', 'Em', ’D'];
"""Industry Baby""";Lil Nas X and Jack Harlow;https://tabs.ultimate-guitar.com/tab/lil-nas-x/industry-baby-chords-3803573;Gm, A, Dm ;
;;https://tabs.ultimate-guitar.com/tab/4973524;;
