listPrice,rent,livingArea,rooms,published,constructionYear,objectType,soldDate,soldPrice,soldPriceSource,floor,additionalArea,apartmentNumber,location.address.streetAddress,location.position.latitude,location.position.longitude,location.position.isApproximate,location.region.municipalityName,location.region.countyName,location.distance.ocean,source.url,price_per_sqm
2950000,2663.0,54.0,2.0,2015-08-21 18:16:39,1935.0,Lägenhet,2015-09-14,3410000,bid,3.0,,1303.0,Torphagsvägen 10,59.3723882,18.0524828,True,Stockholm,Stockholms län,181,http://www.notar.se/,63148.148148148146
1450000,1072.0,23.0,1.0,2012-09-14 05:10:08,1936.0,Lägenhet,2012-10-22,1450000,bid,1.0,,,Åminnevägen 17,59.37119438,18.05355191,,Stockholm,Stockholms län,255,http://www.notar.se/,63043.47826086957
2995000,2798.0,48.0,2.0,2015-11-05 22:42:36,1935.0,Lägenhet,2015-11-30,3025000,bid,,,4805.0,Torphagsvägen 16,59.3720529,18.054052,True,Stockholm,Stockholms län,164,http://www.notar.se/,63020.833333333336
3800000,2785.0,60.3,2.0,2016-12-30 17:32:22,,Lägenhet,2017-01-19,3800000,bid,1.0,,,Docentbacken 1B,59.3705635,18.0585287,True,Stockholm,Stockholms län,298,http://www.fastighetsbyran.se/,63018.24212271974
4300000,3183.0,70.0,3.0,2017-05-08 21:17:48,1969.0,Lägenhet,2017-05-24,4375000,bid,3.0,,,Docentbacken 1A,59.3705294,18.058738,True,Stockholm,Stockholms län,308,http://www.fastighetsbyran.se/,62500.0
2495000,2712.0,44.0,2.0,2018-02-02 14:09:15,1935.0,Lägenhet,2018-02-15,2750000,bid,0.0,0.0,904.0,Ekhagsvägen 12,59.3722721,18.0556589,True,Stockholm,Stockholms län,101,http://www.notar.se/,62500.0
6000000,4201.0,96.7,,2015-10-29 00:13:37,,Lägenhet,2015-10-29,6000000,bid,,,,Docentbacken 3,59.3709502,18.0586253,True,Stockholm,Stockholms län,264,http://www.erikolsson.se/,62047.569803516024
6650000,4990.0,97.0,4.0,2018-01-13 09:41:44,1935.0,Lägenhet,2018-02-15,6000000,bid,3.0,0.0,,Ekhagsvägen 9,59.3720466,18.0549855,True,Stockholm,Stockholms län,136,http://www.notar.se/,61855.67010309279
3295000,2663.0,54.0,2.0,2017-04-27 17:16:27,1935.0,Lägenhet,2017-05-14,3340000,bid,1.0,,,Torphagsvägen 10,59.3723882,18.0524828,True,Stockholm,Stockholms län,181,http://www.notar.se/,61851.851851851854
8500000,5848.0,152.0,5.0,2016-02-05 03:26:36,,Lägenhet,2016-02-23,9250000,bid,1.0,3.0,1102.0,Torphagsvägen 22,59.3731519,18.0536815,True,Stockholm,Stockholms län,67,http://www.notar.se/,60855.26315789474
1495000,1654.0,31.0,1.5,2013-08-23 18:39:31,1935.0,Lägenhet,2013-09-04,1885000,bid,2.0,,,Ekhagsvägen 12,59.3722721,18.0556589,True,Stockholm,Stockholms län,101,http://www.notar.se/,60806.45161290323
3650000,2835.0,60.9,2.0,2017-11-17 17:50:10,1968.0,Lägenhet,2018-01-09,3650000,bid,6.0,,1602.0,Docentbacken 11,59.37142064,18.05760116,,Stockholm,Stockholms län,196,http://www.fastighetsbyran.se/,59934.31855500821
3600000,3216.0,65.0,2.5,2017-03-10 20:18:35,1935.0,Lägenhet,2017-03-23,3880000,bid,2.0,,1203.0,Ekhagsvägen 5,59.37161719,18.05471583,,Stockholm,Stockholms län,186,http://www.notar.se/,59692.307692307695
4390000,3806.0,76.0,3.0,2017-07-19 10:24:25,1935.0,Lägenhet,2017-09-06,4500000,bid,0.0,0.0,,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.notar.se/,59210.52631578947
3500000,2785.0,60.3,2.0,2016-01-29 17:55:27,1968.0,Lägenhet,2016-02-23,3550000,bid,,,,Docentbacken 1B,59.3705635,18.0585287,True,Stockholm,Stockholms län,298,http://www.notar.se/,58872.30514096186
4950000,4160.0,97.0,3.0,2016-02-17 03:27:16,,Lägenhet,2016-03-02,5700000,bid,1.0,,1101.0,Docentbacken 3,59.3709502,18.0586253,True,Stockholm,Stockholms län,264,http://www.svenskfast.se/,58762.886597938144
3500000,3018.0,59.0,2.0,2017-10-08 22:00:34,1939.0,Lägenhet,2017-10-31,3450000,bid,2.0,0.0,,Ekhagsvägen 4,59.3713881,18.0550922,True,Stockholm,Stockholms län,186,http://www.notar.se/,58474.57627118644
4500000,3948.0,80.0,3.0,2017-05-03 00:36:35,1939.0,Lägenhet,2017-05-18,4650000,bid,2.0,,,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.karlssonuddare.se/,58125.0
